country,n_transactions,fraud_rate,avg_purchase_value
United States,58049,0.09562610897689883,36.85884339092836
China,12038,0.08664229938527995,36.92274464196711
Japan,7306,0.09786476868327403,36.775937585546124
United Kingdom,4490,0.10623608017817372,36.87527839643653
Korea Republic of,4162,0.0913022585295531,37.8207592503604
Germany,3646,0.0718595721338453,37.218869994514534
France,3161,0.09490667510281557,36.58082885162923
Canada,2975,0.11697478991596638,37.47495798319328
Brazil,2961,0.0911854103343465,37.25937183383992
Italy,1944,0.08539094650205761,37.99588477366255
Australia,1844,0.08947939262472886,36.40780911062907
Netherlands,1680,0.07321428571428572,36.135714285714286
Russian Federation,1616,0.08292079207920793,36.915222772277225
India,1310,0.11526717557251909,37.3381679389313
Taiwan; Republic of China (ROC),1237,0.08003233629749394,37.13662085691188
Mexico,1121,0.12845673505798394,38.290811775200716
Sweden,1090,0.12018348623853212,36.511926605504584
Spain,1027,0.07108081791626096,36.4634858812074
South Africa,838,0.0883054892601432,36.55727923627685
Switzerland,785,0.08789808917197452,36.03312101910828
Poland,729,0.053497942386831275,37.89711934156379
Argentina,661,0.09984871406959153,36.24810892586989
Indonesia,649,0.08782742681047766,36.57164869029276
Norway,609,0.1297208538587849,37.8752052545156
Colombia,602,0.059800664451827246,37.493355481727576
Turkey,568,0.07394366197183098,37.78169014084507
Viet Nam,550,0.06727272727272728,37.223636363636366
Romania,525,0.05142857142857143,36.92952380952381
Denmark,490,0.15918367346938775,36.310204081632655
Hong Kong,471,0.12951167728237792,36.67940552016985
Finland,460,0.09565217391304348,35.81739130434783
Austria,435,0.07586206896551724,36.777011494252875
Ukraine,429,0.11655011655011654,36.815850815850816
Chile,417,0.15347721822541965,37.70743405275779
Belgium,409,0.13691931540342298,35.23227383863081
Iran (ISLAMIC Republic Of),389,0.10796915167095116,36.804627249357324
Egypt,359,0.13370473537604458,38.5125348189415
Czech Republic,349,0.09742120343839542,38.0487106017192
Thailand,291,0.06529209621993128,36.95189003436426
New Zealand,278,0.22302158273381295,39.014388489208635
Israel,272,0.04411764705882353,37.25367647058823
Saudi Arabia,264,0.1893939393939394,35.734848484848484
Venezuela,251,0.13147410358565736,35.95219123505976
Ireland,240,0.22916666666666666,37.90833333333333
European Union,238,0.058823529411764705,35.6764705882353
Greece,231,0.14285714285714285,35.77489177489178
Portugal,229,0.043668122270742356,36.427947598253276
Hungary,211,0.09004739336492891,38.88625592417062
Malaysia,210,0.05238095238095238,35.46190476190476
Singapore,208,0.0673076923076923,39.1875
Pakistan,186,0.043010752688172046,35.83870967741935
Philippines,177,0.05649717514124294,34.78531073446328
Bulgaria,166,0.012048192771084338,36.06024096385542
Morocco,158,0.03164556962025317,39.58227848101266
Algeria,122,0.10655737704918032,36.49180327868852
Peru,119,0.2605042016806723,35.378151260504204
Tunisia,118,0.2627118644067797,30.838983050847457
